FECHA,NUM_CASOS
12-01-2020,0
13-01-2020,1
14-01-2020,1
15-01-2020,0
16-01-2020,0
17-01-2020,0
18-01-2020,0
19-01-2020,0
20-01-2020,0
21-01-2020,0
22-01-2020,0
23-01-2020,0
24-01-2020,0
25-01-2020,0
26-01-2020,0
27-01-2020,0
28-01-2020,1
29-01-2020,1
30-01-2020,0
31-01-2020,0
01-02-2020,0
02-02-2020,0
03-02-2020,0
04-02-2020,0
05-02-2020,0
06-02-2020,0
07-02-2020,0
08-02-2020,0
09-02-2020,0
10-02-2020,0
11-02-2020,0
12-02-2020,1
13-02-2020,0
14-02-2020,0
15-02-2020,0
16-02-2020,0
17-02-2020,0
18-02-2020,0
19-02-2020,0
20-02-2020,0
21-02-2020,0
22-02-2020,0
23-02-2020,0
24-02-2020,0
25-02-2020,0
26-02-2020,0
27-02-2020,4
28-02-2020,2
29-02-2020,1
01-03-2020,0
02-03-2020,2
03-03-2020,0
04-03-2020,2
05-03-2020,1
06-03-2020,0
07-03-2020,1
08-03-2020,4
09-03-2020,1
10-03-2020,9
11-03-2020,27
12-03-2020,28
13-03-2020,60
14-03-2020,49
15-03-2020,36
16-03-2020,68
17-03-2020,91
18-03-2020,99
19-03-2020,107
20-03-2020,100
21-03-2020,66
22-03-2020,48
23-03-2020,130
24-03-2020,164
25-03-2020,141
26-03-2020,173
27-03-2020,211
28-03-2020,158
29-03-2020,142
30-03-2020,307
31-03-2020,277
01-04-2020,319
02-04-2020,300
03-04-2020,335
04-04-2020,218
05-04-2020,224
06-04-2020,535
07-04-2020,450
08-04-2020,514
09-04-2020,405
10-04-2020,487
11-04-2020,405
12-04-2020,428
13-04-2020,843
14-04-2020,840
15-04-2020,860
16-04-2020,882
17-04-2020,1014
18-04-2020,723
19-04-2020,665
20-04-2020,1347
21-04-2020,1308
22-04-2020,1242
23-04-2020,1328
24-04-2020,1506
25-04-2020,951
26-04-2020,931
27-04-2020,1687
28-04-2020,1686
29-04-2020,1676
30-04-2020,1683
01-05-2020,1288
02-05-2020,1294
03-05-2020,1161
04-05-2020,2376
05-05-2020,1932
06-05-2020,2125
07-05-2020,2243
08-05-2020,2259
09-05-2020,1413
10-05-2020,1297
11-05-2020,2747
12-05-2020,2697
13-05-2020,2933
14-05-2020,2839
15-05-2020,3219
16-05-2020,1983
17-05-2020,1493
18-05-2020,3696
19-05-2020,3250
20-05-2020,3518
21-05-2020,3514
22-05-2020,3548
23-05-2020,1951
24-05-2020,1690
25-05-2020,4218
26-05-2020,3933
27-05-2020,4135
28-05-2020,3911
29-05-2020,3963
30-05-2020,2498
31-05-2020,1880
01-06-2020,4831
02-06-2020,4295
03-06-2020,4529
04-06-2020,4429
05-06-2020,4462
06-06-2020,2536
07-06-2020,2019
08-06-2020,5317
09-06-2020,4870
10-06-2020,4762
11-06-2020,4338
12-06-2020,4122
13-06-2020,1919
14-06-2020,1498
15-06-2020,3486
16-06-2020,2491
17-06-2020,1074
18-06-2020,178
19-06-2020,19
